audit_id,changed_at,db_user,table_name,operation,row_summary
1,2026-08-13 03:43:10,academy_app,grades,UPDATE,student_id=13
2,2026-08-13 06:28:10,lortega,enrollments,INSERT,student_id=362
3,2026-08-13 06:46:54,kbell,enrollments,UPDATE,student_id=52
4,2026-08-13 08:02:42,lortega,students,INSERT,student_id=402
5,2026-08-13 09:40:17,lortega,enrollments,UPDATE,student_id=282
6,2026-08-13 14:10:58,academy_app,grades,INSERT,student_id=516
7,2026-08-13 18:47:35,lortega,enrollments,INSERT,student_id=275
8,2026-08-13 20:33:47,kbell,students,INSERT,student_id=600
9,2026-08-14 04:01:33,academy_app,students,UPDATE,student_id=717
10,2026-08-14 05:32:52,academy_app,grades,UPDATE,student_id=778
11,2026-08-14 14:07:07,kbell,grades,INSERT,student_id=190
12,2026-08-14 15:58:30,lortega,enrollments,UPDATE,student_id=111
13,2026-08-14 18:54:55,academy_app,students,INSERT,student_id=457
14,2026-08-14 19:22:53,kbell,students,UPDATE,student_id=258
15,2026-08-15 00:41:49,lortega,enrollments,UPDATE,student_id=538
16,2026-08-15 03:10:46,kbell,students,INSERT,student_id=419
17,2026-08-15 03:31:02,kbell,enrollments,UPDATE,student_id=526
18,2026-08-15 04:21:57,lortega,enrollments,UPDATE,student_id=22
19,2026-08-15 04:52:39,kbell,students,UPDATE,student_id=209
20,2026-08-15 04:54:42,lortega,grades,UPDATE,student_id=740
21,2026-08-15 05:28:09,academy_app,students,INSERT,student_id=792
22,2026-08-15 08:13:06,kbell,students,UPDATE,student_id=179
23,2026-08-15 08:57:53,lortega,students,INSERT,student_id=194
24,2026-08-15 09:26:51,academy_app,students,INSERT,student_id=540
25,2026-08-15 13:46:20,academy_app,enrollments,UPDATE,student_id=64
26,2026-08-15 19:06:01,kbell,students,UPDATE,student_id=218
27,2026-08-16 08:34:14,academy_app,students,UPDATE,student_id=524
28,2026-08-16 16:59:37,kbell,enrollments,UPDATE,student_id=609
29,2026-08-16 18:06:59,lortega,grades,UPDATE,student_id=519
30,2026-08-16 23:26:24,kbell,grades,INSERT,student_id=571
31,2026-08-17 09:09:25,lortega,enrollments,UPDATE,student_id=388
32,2026-08-17 11:23:40,lortega,students,UPDATE,student_id=564
33,2026-08-17 12:54:58,kbell,enrollments,UPDATE,student_id=258
34,2026-08-17 14:38:41,kbell,enrollments,INSERT,student_id=261
35,2026-08-17 14:43:19,kbell,grades,UPDATE,student_id=376
36,2026-08-17 16:51:07,lortega,grades,UPDATE,student_id=359
37,2026-08-17 20:16:25,academy_app,enrollments,UPDATE,student_id=305
38,2026-08-18 00:06:25,academy_app,students,INSERT,student_id=204
39,2026-08-18 04:12:20,lortega,grades,UPDATE,student_id=458
40,2026-08-18 04:20:18,academy_app,enrollments,INSERT,student_id=646
41,2026-08-18 05:18:42,lortega,students,UPDATE,student_id=218
42,2026-08-18 05:48:25,academy_app,grades,INSERT,student_id=104
43,2026-08-18 07:17:13,kbell,grades,UPDATE,student_id=594
44,2026-08-18 18:37:29,academy_app,enrollments,INSERT,student_id=484
45,2026-08-19 03:31:42,academy_app,students,INSERT,student_id=563
46,2026-08-19 04:36:33,academy_app,enrollments,UPDATE,student_id=738
47,2026-08-19 04:56:58,academy_app,students,INSERT,student_id=55
48,2026-08-19 16:00:50,lortega,grades,UPDATE,student_id=39
49,2026-08-19 17:27:06,academy_app,grades,UPDATE,student_id=89
50,2026-08-19 21:16:44,academy_app,grades,INSERT,student_id=727
51,2026-08-20 01:03:34,kbell,grades,INSERT,student_id=298
52,2026-08-20 01:52:30,academy_app,enrollments,INSERT,student_id=291
53,2026-08-20 04:28:53,kbell,enrollments,UPDATE,student_id=108
54,2026-08-20 08:37:12,kbell,grades,INSERT,student_id=395
55,2026-08-20 13:21:14,kbell,grades,INSERT,student_id=458
56,2026-08-20 15:06:20,lortega,enrollments,UPDATE,student_id=123
57,2026-08-21 07:06:38,lortega,grades,UPDATE,student_id=434
58,2026-08-21 10:32:16,academy_app,students,UPDATE,student_id=168
59,2026-08-21 11:44:17,academy_app,students,UPDATE,student_id=414
60,2026-08-21 16:11:32,academy_app,enrollments,INSERT,student_id=2
61,2026-08-21 20:42:20,lortega,enrollments,UPDATE,student_id=510
62,2026-08-21 23:42:16,lortega,grades,UPDATE,student_id=65
63,2026-08-22 00:31:26,kbell,students,UPDATE,student_id=193
64,2026-08-22 04:34:34,lortega,enrollments,UPDATE,student_id=689
65,2026-08-22 07:12:54,lortega,enrollments,INSERT,student_id=571
66,2026-08-22 10:18:01,kbell,enrollments,INSERT,student_id=200
67,2026-08-22 12:57:03,academy_app,students,UPDATE,student_id=70
68,2026-08-22 19:52:22,academy_app,students,UPDATE,student_id=748
69,2026-08-22 19:56:39,academy_app,enrollments,INSERT,student_id=488
70,2026-08-22 21:05:24,lortega,enrollments,UPDATE,student_id=141
71,2026-08-22 22:12:57,lortega,students,UPDATE,student_id=561
72,2026-08-23 02:14:07,academy_app,students,UPDATE,student_id=231
73,2026-08-23 03:20:57,kbell,enrollments,UPDATE,student_id=706
74,2026-08-23 04:18:16,kbell,grades,UPDATE,student_id=772
75,2026-08-23 10:10:04,kbell,students,UPDATE,student_id=759
76,2026-08-23 22:53:32,kbell,enrollments,INSERT,student_id=420
77,2026-08-24 01:17:16,kbell,grades,UPDATE,student_id=184
78,2026-08-24 01:34:40,kbell,grades,UPDATE,student_id=255
79,2026-08-24 04:18:06,academy_app,students,INSERT,student_id=312
80,2026-08-24 16:38:47,kbell,grades,UPDATE,student_id=772
81,2026-08-24 17:39:14,academy_app,students,INSERT,student_id=728
82,2026-08-24 20:33:49,academy_app,students,UPDATE,student_id=726
83,2026-08-24 20:55:09,kbell,grades,INSERT,student_id=639
84,2026-08-25 01:43:07,kbell,grades,INSERT,student_id=119
85,2026-08-25 07:05:39,kbell,grades,UPDATE,student_id=636
86,2026-08-25 07:06:47,kbell,enrollments,INSERT,student_id=582
87,2026-08-25 07:57:10,kbell,grades,INSERT,student_id=537
88,2026-08-25 20:55:17,kbell,grades,UPDATE,student_id=157
89,2026-08-25 21:14:13,kbell,students,INSERT,student_id=87
90,2026-08-26 00:11:09,academy_app,students,UPDATE,student_id=59
91,2026-08-26 08:00:38,lortega,students,UPDATE,student_id=333
92,2026-08-26 12:11:06,academy_app,grades,UPDATE,student_id=786
93,2026-08-26 12:30:43,lortega,enrollments,UPDATE,student_id=382
94,2026-08-26 12:46:26,kbell,enrollments,UPDATE,student_id=611
95,2026-08-26 13:56:48,lortega,students,UPDATE,student_id=355
96,2026-08-26 14:25:05,lortega,enrollments,UPDATE,student_id=701
97,2026-08-26 23:50:57,kbell,grades,INSERT,student_id=198
