note_id,ticket_id,author_id,noted_at,note_text
1,1,2,2024-01-18 02:12:33,Parts ordered
2,2,6,2024-01-06 12:52:51,Escalated to Network Ops
3,3,5,2024-01-18 21:25:48,Contacted user
4,3,5,2024-01-19 02:32:48,Root cause documented
5,4,2,2024-01-16 19:55:55,Onsite visit scheduled
6,5,7,2024-01-14 14:53:10,Parts ordered
7,5,6,2024-01-14 09:52:10,Parts ordered
8,5,2,2024-01-14 12:23:10,Waiting on vendor
9,6,5,2024-01-25 20:30:56,Onsite visit scheduled
10,6,4,2024-01-25 21:28:56,Remote session started
11,6,5,2024-01-26 18:23:56,Parts ordered
12,7,7,2024-01-28 22:18:58,Resolved and confirmed with user
13,8,5,2024-01-09 16:33:05,Escalated to Network Ops
14,8,3,2024-01-10 01:06:05,Remote session started
15,9,4,2024-01-12 16:56:29,Remote session started
16,9,7,2024-01-12 14:48:29,Root cause documented
17,10,4,2024-01-05 18:45:31,Contacted user
18,10,8,2024-01-06 09:33:31,Escalated to Network Ops
19,10,3,2024-01-06 03:06:31,Remote session started
20,11,6,2024-01-06 14:02:25,Waiting on vendor
21,11,1,2024-01-06 14:58:25,Waiting on vendor
22,11,4,2024-01-07 04:52:25,Parts ordered
23,12,1,2024-01-20 14:40:31,Escalated to Network Ops
24,13,7,2024-01-03 10:45:44,Escalated to Network Ops
25,13,1,2024-01-04 03:23:44,Onsite visit scheduled
26,14,5,2024-01-06 21:36:46,Waiting on vendor
27,15,8,2024-01-09 17:46:05,Onsite visit scheduled
28,16,2,2024-01-09 23:57:27,Contacted user
29,17,4,2024-01-03 19:46:10,Waiting on vendor
30,18,1,2024-01-15 13:04:17,Root cause documented
31,18,6,2024-01-15 21:38:17,Root cause documented
32,18,1,2024-01-15 23:22:17,Escalated to Network Ops
33,19,1,2024-01-24 19:34:58,Escalated to Network Ops
34,19,3,2024-01-25 00:57:58,Parts ordered
35,20,6,2024-01-05 22:31:24,Contacted user
36,21,8,2024-01-01 22:05:58,Root cause documented
37,21,7,2024-01-01 19:21:58,Remote session started
38,22,4,2024-01-06 22:22:57,Remote session started
39,23,4,2024-01-16 19:36:20,Escalated to Network Ops
40,24,2,2024-01-08 23:28:10,Waiting on vendor
41,25,5,2024-01-24 18:23:34,Waiting on vendor
42,26,4,2024-01-01 20:52:23,Root cause documented
43,26,8,2024-01-01 19:00:23,Escalated to Network Ops
44,27,7,2024-01-14 19:32:02,Root cause documented
45,27,6,2024-01-15 02:00:02,Waiting on vendor
46,27,7,2024-01-15 10:23:02,Root cause documented
47,28,5,2024-01-25 23:03:22,Parts ordered
48,29,8,2024-01-25 22:39:42,Resolved and confirmed with user
49,29,6,2024-01-26 09:03:42,Contacted user
50,30,3,2024-01-01 16:43:24,Onsite visit scheduled
51,31,2,2024-01-02 00:49:41,Root cause documented
52,31,6,2024-01-02 07:02:41,Resolved and confirmed with user
53,32,3,2024-01-17 23:07:02,Contacted user
54,33,8,2024-01-11 18:20:24,Contacted user
55,34,5,2024-01-12 22:00:13,Waiting on vendor
56,34,3,2024-01-12 18:33:13,Root cause documented
57,35,7,2024-01-31 17:55:22,Onsite visit scheduled
58,36,3,2024-01-31 18:58:15,Contacted user
59,37,1,2024-01-23 16:20:32,Waiting on vendor
60,38,7,2024-01-29 13:35:05,Contacted user
61,39,7,2024-01-09 16:53:01,Onsite visit scheduled
62,40,4,2024-01-24 23:39:01,Parts ordered
63,41,3,2024-01-29 17:29:44,Root cause documented
64,42,8,2024-01-19 11:31:52,Remote session started
65,42,4,2024-01-19 18:41:52,Onsite visit scheduled
66,42,3,2024-01-20 00:57:52,Escalated to Network Ops
67,43,5,2024-01-10 21:20:57,Onsite visit scheduled
68,44,2,2024-01-28 09:43:02,Remote session started
69,45,6,2024-01-06 17:08:05,Waiting on vendor
70,46,1,2024-01-30 14:47:40,Resolved and confirmed with user
71,46,5,2024-01-30 15:16:40,Contacted user
72,47,4,2024-01-07 12:49:47,Contacted user
73,47,3,2024-01-07 15:33:47,Root cause documented
74,48,3,2024-01-16 14:54:30,Waiting on vendor
75,48,3,2024-01-16 17:27:30,Onsite visit scheduled
76,49,6,2024-01-19 13:30:39,Resolved and confirmed with user
77,50,5,2024-01-20 21:39:27,Contacted user
78,51,5,2024-01-05 17:29:47,Onsite visit scheduled
79,51,2,2024-01-05 20:04:47,Parts ordered
80,51,1,2024-01-06 08:39:47,Contacted user
81,52,2,2024-01-16 20:31:10,Remote session started
82,52,5,2024-01-17 07:25:10,Contacted user
83,53,4,2024-01-30 19:14:22,Root cause documented
84,53,1,2024-01-30 12:57:22,Onsite visit scheduled
85,53,7,2024-01-31 03:41:22,Resolved and confirmed with user
86,54,1,2024-01-31 13:44:16,Root cause documented
