course_id,course_name,grade_level
1,Grade 0 Reading,0
2,Grade 0 Mathematics,0
3,Grade 0 Science,0
4,Grade 0 Social Studies,0
5,Grade 1 Reading,1
6,Grade 1 Mathematics,1
7,Grade 1 Science,1
8,Grade 1 Social Studies,1
9,Grade 2 Reading,2
10,Grade 2 Mathematics,2
11,Grade 2 Science,2
12,Grade 2 Social Studies,2
13,Grade 3 Reading,3
14,Grade 3 Mathematics,3
15,Grade 3 Science,3
16,Grade 3 Social Studies,3
17,Grade 3 Art,3
18,Grade 4 Reading,4
19,Grade 4 Mathematics,4
20,Grade 4 Science,4
21,Grade 4 Social Studies,4
22,Grade 4 Art,4
23,Grade 5 Reading,5
24,Grade 5 Mathematics,5
25,Grade 5 Science,5
26,Grade 5 Social Studies,5
27,Grade 5 Art,5
28,Grade 6 Reading,6
29,Grade 6 Mathematics,6
30,Grade 6 Science,6
31,Grade 6 Social Studies,6
32,Grade 6 Art,6
33,Grade 7 Reading,7
34,Grade 7 Mathematics,7
35,Grade 7 Science,7
36,Grade 7 Social Studies,7
37,Grade 7 Art,7
38,Grade 8 Reading,8
39,Grade 8 Mathematics,8
40,Grade 8 Science,8
