enrollment_id,student_id,section_id
1,1,67
2,1,68
3,1,69
4,1,70
5,1,71
6,1,72
7,1,73
8,1,74
9,1,75
10,1,76
11,1,77
12,1,78
13,1,79
14,1,80
15,1,81
16,2,82
17,2,83
18,2,84
19,2,85
20,2,86
21,2,87
22,2,88
23,2,89
24,2,90
25,2,91
26,2,92
27,2,93
28,2,94
29,2,95
30,2,96
31,3,1
32,3,2
33,3,3
34,3,4
35,3,5
36,3,6
37,3,7
38,3,8
39,3,9
40,3,10
41,3,11
42,3,12
43,4,37
44,4,38
45,4,39
46,4,40
47,4,41
48,4,42
49,4,43
50,4,44
51,4,45
52,4,46
53,4,47
54,4,48
55,4,49
56,4,50
57,4,51
58,5,112
59,5,113
60,5,114
61,5,115
62,5,116
63,5,117
64,5,118
65,5,119
66,5,120
67,6,52
68,6,53
69,6,54
70,6,55
71,6,56
72,6,57
73,6,58
74,6,59
75,6,60
76,6,61
77,6,62
78,6,63
79,6,64
80,6,65
81,6,66
82,7,52
83,7,53
84,7,54
85,7,55
86,7,56
87,7,57
88,7,58
89,7,59
90,7,60
91,7,61
92,7,62
93,7,63
94,7,64
95,7,65
96,7,66
97,8,37
98,8,38
99,8,39
100,8,40
101,8,41
102,8,42
103,8,43
104,8,44
105,8,45
106,8,46
107,8,47
108,8,48
109,8,49
110,8,50
111,8,51
112,9,97
113,9,98
114,9,99
115,9,100
116,9,101
117,9,102
118,9,103
119,9,104
120,9,105
121,9,106
122,9,107
123,9,108
124,9,109
125,9,110
126,9,111
127,10,13
128,10,14
129,10,15
130,10,16
131,10,17
132,10,18
133,10,19
134,10,20
135,10,21
136,10,22
137,10,23
138,10,24
139,11,52
140,11,53
141,11,54
142,11,55
143,11,56
144,11,57
145,11,58
146,11,59
147,11,60
148,11,61
149,11,62
150,11,63
151,11,64
152,11,65
153,11,66
154,12,112
155,12,113
156,12,114
157,12,115
158,12,116
159,12,117
160,12,118
161,12,119
162,12,120
163,13,67
164,13,68
165,13,69
166,13,70
167,13,71
168,13,72
169,13,73
170,13,74
171,13,75
172,13,76
173,13,77
174,13,78
175,13,79
176,13,80
177,13,81
178,14,52
179,14,53
180,14,54
181,14,55
182,14,56
183,14,57
