enrollment_id,term_grade,comments
1,B,
2,B,
3,B,Strong effort
4,A,
5,A,
6,C,
7,B,Missing assignments
8,C,
9,A,
10,A,Strong effort
11,C,
12,A,Missing assignments
13,A,Improved this term
14,C,Strong effort
15,A,
16,B,Strong effort
17,B,Strong effort
18,F,
19,A,Missing assignments
20,B,Missing assignments
21,C,
22,A,
23,B,
24,A,Strong effort
25,B,
26,C,Improved this term
27,B,Missing assignments
28,A,Strong effort
29,A,
30,B,Missing assignments
31,D,Improved this term
32,B,Missing assignments
33,A,Improved this term
34,B,
35,B,
36,F,
37,C,Improved this term
38,D,
39,A,Missing assignments
40,A,Strong effort
41,C,Improved this term
42,A,Strong effort
43,C,
44,B,
45,B,
46,B,
47,C,Improved this term
48,A,Strong effort
49,C,Strong effort
50,D,Strong effort
51,C,
52,C,Improved this term
53,C,Missing assignments
54,B,Strong effort
55,A,Strong effort
56,A,
57,A,
58,B,Missing assignments
59,A,
60,F,Strong effort
61,B,Missing assignments
62,A,Improved this term
63,C,Missing assignments
64,A,Missing assignments
65,B,Strong effort
66,A,
67,B,Improved this term
68,A,Strong effort
69,C,Missing assignments
70,C,
71,A,
72,B,Strong effort
73,C,
74,D,
75,F,Improved this term
76,B,Missing assignments
77,A,Improved this term
78,A,Strong effort
79,B,Improved this term
80,B,
81,D,Strong effort
82,A,
83,C,
84,A,Improved this term
85,A,
86,A,
87,C,Improved this term
88,A,Missing assignments
89,A,Missing assignments
90,B,Missing assignments
91,C,Missing assignments
92,C,Improved this term
93,A,Strong effort
94,A,
95,B,
96,B,
97,C,
98,C,
99,B,Improved this term
100,D,Improved this term
101,D,
102,D,Missing assignments
103,A,Strong effort
104,C,
105,B,Strong effort
106,A,Strong effort
107,B,
108,A,Missing assignments
109,B,Strong effort
110,A,
111,C,Improved this term
112,C,
113,A,Improved this term
114,A,
115,A,Missing assignments
116,A,
117,F,Strong effort
118,C,Improved this term
119,B,Strong effort
120,A,Missing assignments
121,B,Missing assignments
122,B,Improved this term
123,D,
124,B,Strong effort
125,C,
126,A,Strong effort
127,D,Improved this term
128,D,
129,D,Missing assignments
130,B,
131,C,Strong effort
132,D,
133,A,
134,C,Improved this term
135,B,Improved this term
136,C,
137,B,Missing assignments
138,A,Missing assignments
139,B,Strong effort
140,D,
141,B,
142,A,
143,A,Missing assignments
144,B,
145,A,
146,C,Strong effort
147,C,
148,C,Improved this term
149,C,Strong effort
150,C,
151,B,Missing assignments
152,C,
153,B,
154,B,
155,C,Improved this term
156,A,Missing assignments
157,B,
158,D,Strong effort
159,D,
160,C,
161,B,Missing assignments
162,B,Improved this term
163,B,Strong effort
164,B,Missing assignments
165,B,Improved this term
166,A,Strong effort
167,C,Missing assignments
168,A,Improved this term
169,D,
170,A,
171,C,
172,A,
173,B,Strong effort
174,B,
175,C,Missing assignments
176,C,
177,A,Missing assignments
178,C,
179,B,
180,A,Strong effort
181,C,
182,A,Missing assignments
183,A,
184,B,Missing assignments
185,B,Missing assignments
186,A,
187,A,Missing assignments
188,B,Strong effort
189,A,Improved this term
190,D,Strong effort
191,A,
192,B,Improved this term
193,D,Strong effort
194,A,Improved this term
195,B,Missing assignments
196,C,
197,A,Strong effort
198,C,Missing assignments
199,C,Strong effort
200,A,Strong effort
201,B,
202,C,
203,A,
204,A,
205,B,Improved this term
206,B,Missing assignments
207,C,
208,C,
209,B,
210,A,Missing assignments
211,B,Improved this term
212,A,
213,C,Improved this term
214,D,Strong effort
215,A,
216,B,Strong effort
217,B,Strong effort
218,B,Improved this term
219,A,
220,B,Missing assignments
221,F,Improved this term
222,C,Missing assignments
223,B,
224,F,Missing assignments
225,B,Strong effort
226,D,
227,C,
228,C,Improved this term
229,C,Improved this term
230,B,Improved this term
231,F,Improved this term
232,A,Improved this term
233,A,
234,A,
235,A,
236,C,
237,B,
238,B,Missing assignments
239,D,Missing assignments
240,C,
241,B,
242,D,Missing assignments
243,A,Missing assignments
244,A,Missing assignments
245,C,Missing assignments
246,A,Strong effort
247,A,
248,F,
249,C,Strong effort
250,D,
251,A,Missing assignments
252,B,
253,B,Strong effort
254,B,Improved this term
255,A,Missing assignments
256,B,Improved this term
257,B,Missing assignments
258,B,Improved this term
259,C,Missing assignments
260,A,Improved this term
261,A,Strong effort
262,A,Strong effort
263,B,Strong effort
264,A,Improved this term
265,C,
266,B,Strong effort
267,D,
268,B,
269,C,Missing assignments
270,B,Missing assignments
271,C,Strong effort
272,B,Improved this term
273,C,Missing assignments
274,B,Improved this term
275,B,Missing assignments
276,A,Improved this term
277,F,Missing assignments
278,B,Strong effort
279,B,Missing assignments
280,C,
281,B,Improved this term
282,A,Strong effort
283,A,Strong effort
284,C,Strong effort
285,B,Missing assignments
286,D,
287,C,
288,D,Strong effort
289,C,Strong effort
290,B,Strong effort
291,A,Strong effort
292,B,Strong effort
293,B,Strong effort
294,A,Strong effort
295,A,
296,B,Missing assignments
297,B,Missing assignments
298,C,Improved this term
299,C,
300,B,
301,B,Strong effort
302,B,Missing assignments
303,B,Strong effort
304,B,Strong effort
305,D,Missing assignments
306,B,Improved this term
307,B,
308,C,Strong effort
309,A,
310,A,Improved this term
311,C,
312,A,Strong effort
313,C,Strong effort
314,A,Strong effort
315,A,
316,D,Missing assignments
317,D,Missing assignments
318,A,Missing assignments
319,B,Improved this term
320,D,
321,C,
322,A,
