section_id,course_id,staff_id,term
1,1,51,Fall 2025
2,1,13,Spring 2026
3,1,56,Fall 2026
4,2,17,Fall 2025
5,2,34,Spring 2026
6,2,10,Fall 2026
7,3,43,Fall 2025
8,3,16,Spring 2026
9,3,1,Fall 2026
10,4,9,Fall 2025
11,4,24,Spring 2026
12,4,8,Fall 2026
13,5,31,Fall 2025
14,5,34,Spring 2026
15,5,18,Fall 2026
16,6,60,Fall 2025
17,6,52,Spring 2026
18,6,11,Fall 2026
19,7,22,Fall 2025
20,7,44,Spring 2026
21,7,3,Fall 2026
22,8,5,Fall 2025
23,8,33,Spring 2026
24,8,1,Fall 2026
25,9,17,Fall 2025
26,9,12,Spring 2026
27,9,9,Fall 2026
28,10,19,Fall 2025
29,10,19,Spring 2026
30,10,54,Fall 2026
31,11,9,Fall 2025
32,11,16,Spring 2026
33,11,44,Fall 2026
34,12,20,Fall 2025
35,12,55,Spring 2026
36,12,50,Fall 2026
37,13,42,Fall 2025
38,13,32,Spring 2026
39,13,12,Fall 2026
40,14,7,Fall 2025
41,14,26,Spring 2026
42,14,12,Fall 2026
43,15,53,Fall 2025
44,15,36,Spring 2026
45,15,59,Fall 2026
46,16,32,Fall 2025
47,16,35,Spring 2026
48,16,37,Fall 2026
49,17,56,Fall 2025
50,17,15,Spring 2026
51,17,35,Fall 2026
52,18,17,Fall 2025
53,18,20,Spring 2026
54,18,7,Fall 2026
55,19,26,Fall 2025
56,19,17,Spring 2026
57,19,50,Fall 2026
58,20,22,Fall 2025
59,20,19,Spring 2026
60,20,5,Fall 2026
61,21,31,Fall 2025
62,21,8,Spring 2026
63,21,1,Fall 2026
64,22,9,Fall 2025
65,22,29,Spring 2026
66,22,23,Fall 2026
67,23,33,Fall 2025
68,23,56,Spring 2026
69,23,15,Fall 2026
70,24,23,Fall 2025
71,24,44,Spring 2026
72,24,5,Fall 2026
73,25,8,Fall 2025
74,25,12,Spring 2026
75,25,7,Fall 2026
76,26,24,Fall 2025
77,26,58,Spring 2026
78,26,59,Fall 2026
79,27,2,Fall 2025
80,27,59,Spring 2026
81,27,18,Fall 2026
82,28,30,Fall 2025
83,28,59,Spring 2026
84,28,19,Fall 2026
85,29,20,Fall 2025
86,29,15,Spring 2026
87,29,9,Fall 2026
88,30,6,Fall 2025
89,30,44,Spring 2026
90,30,15,Fall 2026
91,31,21,Fall 2025
92,31,44,Spring 2026
93,31,24,Fall 2026
94,32,32,Fall 2025
95,32,12,Spring 2026
96,32,40,Fall 2026
97,33,6,Fall 2025
98,33,3,Spring 2026
99,33,22,Fall 2026
100,34,8,Fall 2025
101,34,28,Spring 2026
102,34,21,Fall 2026
103,35,13,Fall 2025
104,35,12,Spring 2026
105,35,1,Fall 2026
106,36,33,Fall 2025
107,36,35,Spring 2026
108,36,4,Fall 2026
109,37,53,Fall 2025
110,37,3,Spring 2026
111,37,42,Fall 2026
112,38,29,Fall 2025
113,38,4,Spring 2026
114,38,44,Fall 2026
115,39,27,Fall 2025
116,39,31,Spring 2026
117,39,34,Fall 2026
118,40,58,Fall 2025
119,40,40,Spring 2026
120,40,24,Fall 2026
